genre,enteredCharts,twitterFollowers,artistSongs,labelSongs,daysAfterRelease
Electro House,0,345,20,41,14
Electro House,0,1659,33,781,2
Trance,0,4152,114,9110,20
Trance,0,3787,16,3827,6
Deep House,0,266,133,67,12
Techno,0,366,85,273,25
House,0,30203,1926,1032,28
Techno,0,86,19,3,24
Techno,1,2257,150,20,44
Techno,0,304,44,1041,9
Techno,0,24,24,83,9
House,0,77484,456,16231,21
Trance,0,226,76,1108,16
House,1,46,67,3241,45
Deep House,0,6,47,6,9
House,0,962,51,15,11
Deep House,0,1267,174,142,34
Deep House,0,6788,39,150,23
Deep House,0,154,221,180,17
House,0,426,567,3282,12
Techno,0,16,16,1,6
Electro House,0,23125,10,1680,20
Trance,0,1472,17,855,13
Deep House,1,986,72,193,24
House,0,332,103,1037,22
Deep House,0,201,98,39,16
Techno,0,2276,859,17,13
House,0,315,19,376,16
Trance,0,462,9,3,2
Techno,1,4812,379,19,9
Trance,0,14234,202,8,9
Techno,0,101,35,20,1
House,0,50,160,5809,0
House,0,14424,39,81,27
Trance,0,159,150,15,6
House,0,325,15,20,2
Progressive House,0,3594,8,4689,16
Deep House,0,765,1042,430,25
House,0,32,431,45,13
Progressive House,1,26932,37,107,2
Techno,0,6487,56,4,27
Deep House,0,47,55,224,10
Deep House,0,2853,75,347,30
House,0,235,122,339,0
Techno,0,172,13,66,16
Techno,0,23,5,627,2
House,0,1906,319,376,16
Trance,1,226,167,342,37
Deep House,0,26,123,240,13
Progressive House,1,973,18,24,10
Deep House,0,158,30,393,9
Trance,1,134442,435,14,20
Techno,0,1380,155,4,23
House,0,5,132,447,13
Deep House,0,229,6,87,9
Electro House,0,1164,21,9,6
House,0,414,155,3282,20
Progressive House,0,263,87,26,2
House,0,441,443,111,18
Techno,0,291,83,12,14
Techno,0,16,20,47,2
Progressive House,0,1105,190,1416,6
House,0,284,90,1032,9
Progressive House,0,2637,16,136,6
Deep House,0,78,528,2963,22
Trance,0,2069,52,1108,9
House,0,5,1,24,23
Techno,0,53,740,928,3
Progressive House,0,4593,27,4689,34
Deep House,0,2192,431,39,9
Progressive House,0,118,857,58,20
Deep House,0,14728,126,719,6
Techno,0,25567,73,138,6
Trance,0,664,185,351,2
Deep House,0,13,19,1,5
House,0,572,25,1032,7
Electro House,0,2,7,107,16
Techno,0,53,740,123,5
Electro House,1,1023120,230,19,44
House,0,512,6,79,9
Trance,0,3958,14,75,16
Techno,0,73,15,525,4
Deep House,0,354,3,109,4
Techno,0,10,46,255,14
Electro House,0,9647,22,5809,13
Electro House,0,7070,10,9,34
Deep House,0,4428,53,56,6
Deep House,0,507,45,18,2
Techno,1,565,32,12,16
Trance,0,841,104,8,9
House,0,6012,142,156,10
Deep House,0,477,160,182,16
House,0,44081,55,91,13
Techno,0,39,66,6,2
Deep House,0,429,14,89,20
Trance,0,4980,382,219,23
Techno,1,1116,301,257,58
Trance,1,3287,176,342,30
House,0,9074,525,16231,20
Techno,0,6569,92,179,19
Deep House,0,235,1161,179,6
House,0,493,54,319,4
Progressive House,0,2754,17,650,31
House,0,26,31,6,2
Deep House,0,9,267,22,37
Deep House,0,1227,42,55,5
Electro House,1,23621,84,161,13
House,1,3775,300,3241,57
House,0,135,34,549,16
House,0,1,41,81,27
Trance,0,58,290,1108,9
Deep House,0,4339,93,2,23
House,0,210,26,119,2
Deep House,0,8,7,148,16
Techno,0,204,180,2206,9
House,0,131,333,1032,9
Deep House,0,150,50,3694,13
Techno,0,432,320,186,10
Techno,0,849,25,16231,10
Techno,0,366,85,317,11
Trance,1,1,128,113,44
House,0,336,980,2112,12
Progressive House,0,27,30,20,23
Electro House,0,174341,181,392,6
Deep House,0,19,258,9,2
Techno,0,765,280,19,9
Techno,0,17,94,13,16
Trance,0,315,207,1786,30
Progressive House,1,2172,22,3241,53
House,0,294,64,43,24
Deep House,0,16,7,14,13
Progressive House,0,154,3,149,2
Electro House,0,7098,126,171,6
House,0,10672,354,743,26
Trance,0,2091,199,52,30
Trance,0,8387,22,6,30
Trance,0,6,602,855,13
Techno,0,66,47,89,10
Trance,0,69653,488,401,9
Techno,0,98,36,2206,9
Electro House,1,411,5,107,9
House,0,185,143,17,6
House,0,98,272,57,32
House,0,3837,92,1621,16
Progressive House,1,4594,27,1053,8
Deep House,0,743,38,4058,12
Trance,1,16,25,303,58
Progressive House,0,228,14,24,11
Techno,0,918,2133,1041,27
Progressive House,0,18033,12,650,3
Deep House,0,152,100,355,2
Deep House,0,359,96,179,6
Electro House,0,1833,168,241,26
Deep House,0,39903,69,154,4
Techno,0,3415,324,1867,6
Deep House,0,1218,30,304,2
House,0,141,89,179,5
Deep House,0,449,52,99,23
Trance,0,7123,67,219,37
Trance,0,3674,10,1108,2
Trance,0,15789,280,52,23
Trance,0,214162,547,3827,6
Techno,0,3415,324,91,33
Trance,0,433,239,707,30
Progressive House,0,5501,10,435,6
Dubstep,0,29,48,1,6
Deep House,0,158,35,84,5
Techno,1,4812,379,622,44
House,0,235,1161,3282,12
House,0,4049,217,1420,12
Techno,0,490,80,9,23
Trance,0,228,74,179,9
Deep House,0,2,77,377,9
Techno,0,4,8,20,2
Progressive House,0,42,37,747,6
Techno,0,124,88,24,23
House,0,7573,248,5809,7
House,0,21,7,69,24
Progressive House,0,926,89,14,16
Progressive House,0,236,39,62,9
House,0,30,525,293,12
Progressive House,0,333,32,340,23
Progressive House,0,2311,23,1420,19
Trance,1,14714,27,129,9
Trance,0,841,104,16,23
Trance,1,63692,502,3694,51
House,0,439,1111,5809,4
Progressive House,1,5497,59,161,13
Progressive House,0,18033,12,107,30
Trance,0,2082,47,219,16
Techno,0,2256,150,549,2
House,0,130,148,435,26
Trance,0,1301,14,3694,9
House,0,1559,700,16231,4
House,0,154,221,180,2
Progressive House,0,123,43,66,16
Progressive House,0,9727,421,61,33
Progressive House,0,29,130,5,20
Deep House,0,1987,4,1,9
Deep House,1,2681,546,417,16
Progressive House,0,1844,46,17,6
Electro House,0,64,58,319,2
Electro House,0,2279,611,16231,6
Techno,0,4795,67,37,9
Techno,0,6,8,98,11
House,0,662,10,743,16
Deep House,0,786,4,10,30
Techno,0,737,60,8,9
Techno,0,284,24,69,9
Electro House,1,421,4,20,62
Trance,1,16408,463,58,58
Techno,0,166,241,2206,9
Techno,1,33690,161,489,30
House,0,62,71,43,19
House,0,13,137,1032,13
Techno,0,334,23,62,23
Trance,0,77,64,350,9
Techno,0,398,251,4058,11
Deep House,0,14380,74,435,33
Progressive House,0,6509,432,394,27
Electro House,0,4481,40,22,6
Deep House,0,197,52,220,16
Electro House,0,708,60,136,6
Trance,0,28395,575,781,16
Trance,0,5913,224,1108,2
Progressive House,0,983,344,6,15
Deep House,0,80287,72,18,34
Trance,0,868,132,3694,13
House,0,1559,700,5809,6
House,0,487,39,30,24
House,0,159,51,46,9
Progressive House,0,10230,2,9110,20
Techno,0,2,256,177,13
Progressive House,0,139,12,107,16
Trance,1,2282,404,22,23
Progressive House,0,19,2,135,9
House,0,918,2133,1032,13
Techno,0,427,152,159,6
House,0,81,43,382,34
House,0,57505,33,51,31
Deep House,0,62,25,195,16
Techno,0,911,11,317,11
House,0,488,74,1032,26
Trance,0,1225,50,78,14
Electro House,0,16323,32,146,20
House,0,2162,89,91,13
House,0,17179,516,380,34
Deep House,0,114,8,380,20
Progressive House,0,972,30,5,9
Techno,0,990,150,118,23
Trance,1,33193,163,4689,58
Dubstep,0,58,9,19,2
Trance,0,13822,168,219,37
Trance,0,94565,30,107,16
Progressive House,0,5281,37,508,9
House,0,652,29,13,23
Deep House,0,245,175,198,11
House,0,336,980,2963,3
Trance,0,39,18,16,9
House,0,3718,508,435,26
House,0,33,103,216,3
Dubstep,0,29,48,1,6
Deep House,0,10710,509,340,14
Techno,0,23056,22,3,17
House,0,1388,166,2,9
Deep House,0,310,90,79,20
Deep House,0,1384,60,1171,9
Deep House,0,4611,23,1032,8
Trance,0,32620,58,1030,25
Progressive House,0,3,9,76,23
Trance,0,640,53,351,2
Progressive House,0,64,642,2963,17
Techno,0,457,26,20,23
Electro House,0,1624,48,24,12
Progressive House,0,9727,421,183,11
House,1,125,8,2572,30
House,0,30203,1926,5809,25
House,0,861,249,3282,13
Deep House,0,398,140,7,30
Trance,0,38846,513,401,9
Deep House,0,1011,67,151,16
House,0,308,69,179,37
House,0,1159,47,3282,12
House,0,141,89,2112,9
Progressive House,0,20136,502,120,20
Deep House,0,318,40,549,9
Trance,0,22932,313,6207,23
Deep House,0,369,6,9,9
Techno,0,265,15,331,16
House,0,34,101,6,11
Deep House,0,2711,31,198,13
Progressive House,1,61819,280,136,55
Progressive House,0,1649,5,81,2
Electro House,0,15360,541,178,13
Techno,1,37017,263,19,58
Deep House,0,169,23,305,8
Deep House,0,1567,131,34,30
Techno,0,734,162,257,9
Progressive House,1,12126,21,32,2
Techno,0,239,104,33,12
House,0,1637,20,93,2
Electro House,0,6952,148,1420,19
Techno,0,1232,85,390,16
Electro House,0,2099,17,380,30
Progressive House,0,1056,124,1680,20
Dubstep,1,2382,118,201,10
Deep House,0,173,43,225,23
Techno,0,919,14,339,0
Techno,0,5775,589,86,23
Electro House,1,280336,130,5,30
House,0,483,29,17,2
House,0,6470,342,293,12
Dubstep,1,106499,51,233,16
Progressive House,0,206,28,1680,13
Progressive House,1,2770,14,182,51
Electro House,0,2338,7,120,18
Trance,0,6240,229,3694,9
House,0,1765,21,179,5
Electro House,0,225,65,392,20
House,0,88,7,1214,6
Electro House,0,6171,22,243,14
House,0,131,17,169,25
Deep House,0,8170,345,20,16
House,0,15,16,6,13
Techno,1,3544,273,126,51
Techno,0,146,27,4058,11
Dubstep,0,1447,33,1,6
Electro House,1,928,21,15,16
House,0,3433,224,16,16
Deep House,0,165,110,2206,20
Electro House,0,5676,698,120,18
House,0,50,160,16231,3
Techno,0,922,45,1,9
Deep House,0,2999,7,235,21
Deep House,0,8255,48,47,19
House,0,605,40,138,30
House,0,1023119,230,1420,19
Deep House,0,16,20,7,17
Techno,0,1153,39,390,16
Progressive House,0,527202,3,4689,27
Deep House,0,62,25,179,18
Techno,0,1791,113,564,13
House,0,30203,1926,1032,11
Techno,1,7279,70,349,2
Techno,0,2,108,19,10
Trance,1,869,132,14,51
Techno,0,46,59,33,13
Deep House,0,181,182,430,25
Electro House,0,1572,30,66,3
Trance,0,4767,462,351,37
Techno,0,2322,87,25,9
House,0,2756,73,86,16
Deep House,0,48,30,10,2
Deep House,0,17,60,64,13
House,0,1521,100,179,18
Electro House,0,2774,149,5809,0
House,0,4083,164,24,33
Deep House,0,11,7,210,13
Progressive House,1,43,49,191,58
House,0,2276,859,627,28
Deep House,0,229,6,87,9
Deep House,0,658,17,739,6
House,0,1388,166,5809,0
Progressive House,0,6114,41,5809,7
Progressive House,0,73,75,120,18
Trance,0,21963,355,9110,20
House,0,185,143,17,6
House,0,3,12,179,2
House,0,1388,166,5809,0
House,0,2,32,1041,20
Deep House,0,39903,69,154,1
Progressive House,0,1530,71,1680,20
Progressive House,0,11736,654,553,6
Progressive House,0,834942,60,4689,45
House,0,107,107,719,13
Deep House,0,1331,69,117,34
Deep House,0,314,55,5,23
Deep House,0,16,47,27,5
Deep House,0,154,221,180,17
Deep House,0,294,45,6,15
Electro House,0,49,57,278,15
Techno,0,3732,129,996,19
Deep House,0,38334,442,170,20
Deep House,0,103,7,66,17
Progressive House,1,119,1,4689,3
Techno,0,10,46,255,14
Techno,0,33,62,57,2
Techno,0,64,41,627,5
House,0,2949,81,74,16
Trance,0,1580,47,115,16
Trance,0,88,41,707,20
House,0,180,54,109,9
House,0,336,980,2963,3
House,0,3718,508,224,18
Deep House,0,113,3,101,11
House,0,2276,859,89,16
Electro House,0,7041,66,1107,7
House,0,18294,27,280,6
House,0,152,251,1670,6
Progressive House,0,1530,71,1680,20
House,0,17179,516,380,34
Deep House,0,3750,43,2963,22
Techno,0,1280,146,20,23
House,0,48,17,35,16
Trance,0,8443,50,1053,3
Trance,0,7,17,84,6
House,0,118,857,435,26
Techno,1,6219,448,12,2
Deep House,0,8801,35,2963,17
Trance,0,596,66,1017,16
Trance,1,4746,51,129,9
Trance,0,28615,123,8,9
Electro House,0,77,7,107,16
Trance,1,1533,12,4689,9
House,0,571,73,84,30
House,0,22151,170,16231,4
House,0,635,158,1214,13
Electro House,0,827,404,1030,25
Electro House,0,2883,41,392,13
Electro House,0,42,37,747,6
Deep House,0,62,25,195,16
House,0,231,72,67,8
House,0,1,39,1107,7
House,0,114,47,172,2
Progressive House,1,470019,401,1053,8
House,0,942,74,163,6
Trance,1,49626,414,244,65
Progressive House,0,682,71,137,20
Progressive House,0,1,93,904,2
House,0,326,2,180,6
Trance,1,32,58,1786,2
Techno,0,77,19,5,5
House,0,80,24,855,20
Techno,0,456,250,996,19
Techno,0,380,44,79,2
Progressive House,0,1370,16,2,9
Trance,0,5353,176,401,23
Progressive House,0,1304,541,435,6
Progressive House,0,3519,262,566,16
House,0,918,2133,1032,29
Techno,0,2243,500,206,9
Trance,0,664,185,351,9
Deep House,0,269,60,4058,18
Techno,0,160,3,37,9
Trance,0,533,4,1030,2
Deep House,0,416,90,54,9
Techno,0,256,181,61,2
House,0,64,13,23,19
Techno,0,3,203,265,23
Electro House,0,36,44,1680,13
House,0,51,29,2112,16
Deep House,0,12458,61,377,9
House,0,1227,42,36,5
House,0,68853,671,5809,5
Deep House,0,263,87,26,2
House,0,9152,232,179,20
Techno,0,153,6,58,10
Techno,0,204,33,12,27
House,0,1710,22,549,16
Deep House,0,314,18,304,2
Deep House,0,71,174,4,24
House,0,249,48,1032,13
House,0,3379,19,781,2
Trance,0,2551,165,9110,20
Deep House,0,1596,111,70,23
House,0,406,9,1108,16
Techno,0,651,15,30,2
Progressive House,0,303,186,1032,6
Trance,1,14299,2,1,2
Progressive House,0,2295,52,22,3
Techno,1,1,414,311,9
House,0,414,3,3,31
House,0,926,89,216,3
Trance,0,1964,333,3694,9
House,0,918,2133,435,19
Electro House,0,1132,38,233,16
House,0,432,20,21,16
Deep House,0,114,122,3241,8
Progressive House,0,6528,155,120,18
Techno,0,397,246,845,7
Techno,0,1568,48,159,9
Techno,0,75,26,1041,27
Deep House,0,109935,249,827,16
House,0,602,116,14,13
House,0,32,57,123,2
House,0,140,18,459,16
Deep House,0,16,19,6,16
House,0,8,65,2112,16
House,0,6,676,3241,4
Progressive House,0,589,362,16231,0
Progressive House,1,72106,46,121,45
Deep House,0,201,25,93,23
House,0,1,170,1032,26
Techno,0,408,144,36,23
House,0,4514,173,179,33
Trance,0,600,41,45,26
Electro House,0,324,27,1214,20
Deep House,0,6893,106,2206,27
House,0,2684,99,92,2
House,0,1559,700,179,26
Electro House,0,63,18,216,6
House,0,36,112,4689,31
Techno,0,775,132,114,30
Progressive House,0,313,242,58,6
Techno,0,154,146,66,16
Techno,0,204,180,2206,9
House,0,6,602,855,20
Progressive House,0,85,24,5809,7
House,0,24,18,1032,11
House,0,218,86,1032,11
Trance,0,693,721,1030,2
Trance,0,349,13,63,19
House,0,427,52,17,6
Deep House,0,740,13,224,10
House,0,3635,333,565,20
Deep House,0,86,28,56,23
Techno,0,147,9,37,9
House,0,6,602,855,13
House,0,97,5,55,16
House,0,7484,52,15,23
Techno,0,24,24,83,9
Trance,0,18127,67,1017,23
Deep House,0,1114,188,41,13
Trance,0,806,138,52,2
House,0,1388,166,179,5
House,0,24,10,44,18
House,0,1078,133,120,18
Techno,0,45869,135,194,16
Deep House,0,286,197,96,9
Trance,0,1581,444,781,16
Deep House,0,475,37,110,16
House,0,91852,328,3241,4
House,0,1767,21,17,6
Trance,0,24365,401,80,30
Dubstep,0,29,48,1,6
Techno,0,4795,67,4,20
House,0,177,122,91,32
Trance,0,51204,130,219,30
Dubstep,0,221,18,16,2
Electro House,0,6,67,18,5
Electro House,0,44301,28,1680,27
Deep House,0,154,221,180,16
Techno,0,43,22,56,16
Trance,1,694,721,47,23
Trance,0,27,78,1108,2
Trance,0,2069,52,219,23
House,0,23790,150,6,3
House,0,7049,711,435,26
Trance,0,8,33,1680,13
Techno,0,214,26,121,9
Techno,0,293,21,4,20
House,0,311,93,1,30
Techno,0,599,42,100,2
Deep House,0,29,11,20,2
Deep House,1,2035,79,10,16
Techno,0,754,112,257,9
Deep House,0,1057,187,1071,13
Progressive House,0,1339,256,145,23
House,0,1081,55,1107,7
Techno,0,579,29,422,9
Trance,0,11157,76,9110,20
House,0,145,101,204,26
House,0,42742,32,26,9
Electro House,0,521,151,138,9
Trance,0,75,22,3694,9
House,0,414041,182,992,8
Trance,1,373,39,351,9
House,0,1183,21,24,23
House,0,1044,2,1,12
Techno,0,19922,196,153,31
Trance,0,140,78,350,9
Progressive House,0,7,178,1680,13
House,0,463,23,23,12
Deep House,0,204,33,12,27
Trance,0,26454,221,3694,13
Trance,0,1372,113,90,16
House,0,1190,34,67,12
Trance,1,1836,43,66,37
Deep House,0,134,30,876,6
House,0,1788,76,17,6
Progressive House,0,181,182,124,9
Trance,1,2982,662,342,44
Trance,0,9,16,332,6
Techno,0,39,66,39,16
House,0,15,161,35,19
Deep House,0,371,111,292,3
Electro House,0,7,242,17,6
House,0,1234,8,280,6
Trance,0,40,26,15,16
House,1,138828,5,470,62
House,0,463,47,1032,9
Techno,0,62,33,1867,13
Techno,0,3140,136,992,8
Trance,0,194,108,47,23
Electro House,0,2704,50,392,6
Trance,0,208,17,422,2
Progressive House,0,8690,67,122,16
Dubstep,0,398,19,1,23
Techno,0,17985,104,86,2
House,0,409,153,719,13
Techno,0,433,18,35,2
Progressive House,0,438,20,65,13
House,0,17179,516,380,34
Deep House,0,665,104,347,30
Trance,0,586,83,1017,9
Progressive House,0,44,17,3282,0
Electro House,0,1501,23,1425,13
Electro House,0,3282,63,17,11
House,0,1562,18,305,13
Dubstep,1,2382,118,201,59
Electro House,0,1833,168,241,20
Deep House,0,323,178,198,11
House,0,2,90,150,0
House,0,48162,546,459,9
Electro House,0,23125,10,1680,20
Trance,0,1813,72,3694,23
Deep House,0,2517,11,21,24
Electro House,1,27,47,186,10
Techno,0,1153,39,10,33
House,1,91853,328,98,16
House,0,6,676,90,9
Deep House,0,395,31,950,19
House,0,5775,589,5809,0
Trance,0,755,97,43,16
House,0,4682,199,1214,6
Techno,0,169,1193,58,16
Techno,0,2,165,331,16
Trance,0,6787,312,3694,23
House,0,84,160,67,12
Techno,0,334,23,62,23
Progressive House,0,3483,37,28,16
Deep House,0,71,16,18,12
House,0,168,164,40,2
Techno,0,1090,72,254,23
Techno,0,19,26,81,2
Progressive House,0,206,124,340,2
Techno,0,86,9,9,9
House,0,598982,226,233,13
House,0,58,9,293,12
Deep House,0,3812,1,25,9
House,0,600,371,1032,28
Trance,0,470018,401,1053,38
Progressive House,0,6470,342,950,19
Trance,0,4666,42,3068,16
House,0,140,18,459,16
Trance,0,9857,343,219,30
Deep House,0,38334,442,1621,16
Trance,0,6,602,855,13
Techno,0,814,221,3,23
Trance,0,9980,40,1030,25
Techno,0,11172,1,5,19
Deep House,0,161,24,213,25
Techno,0,79,2,104,23
House,0,813,817,16231,6
Techno,0,9,17,335,9
Deep House,0,918,2133,54,31
House,0,30,2,2,10
House,0,403,397,430,6
Deep House,0,398,140,7,30
Deep House,0,359,109,32,9
Techno,0,63,24,41,30
House,0,168,164,40,2
Progressive House,0,4034,89,50,26
Electro House,0,3272,14,107,16
Techno,0,2058,64,996,19
Techno,0,19922,196,2,30
Techno,0,256,181,159,9
Progressive House,0,2171,22,26,17
Progressive House,1,15767,31,226,44
Deep House,0,600,371,1032,8
Electro House,0,13,11,278,16
Deep House,0,2447,759,1305,20
House,0,3433,224,16,16
Deep House,0,154,221,180,17
Deep House,0,614,177,53,20
House,0,813,817,16231,5
Progressive House,0,1014,22,5,16
House,0,50,160,435,23
Deep House,0,21,41,240,17
Trance,0,92,139,1680,13
Trance,0,575,13,781,16
Progressive House,0,15360,541,48,34
Progressive House,0,489,72,340,9
Electro House,0,118,857,250,10
Electro House,0,8255,48,62,9
House,0,97322,158,4689,3
Deep House,0,296,73,20,16
Deep House,0,229,6,87,9
Progressive House,0,567,8,26,9
Progressive House,0,186,17,1680,20
Progressive House,0,146232,408,40,10
Trance,0,638,44,3068,2
House,0,1413,14,23,19
Techno,0,33527,16,18,2
House,0,497,38,4689,34
Progressive House,0,1559,700,147,9
Progressive House,0,74,92,155,9
Trance,0,6177,224,219,37
Trance,0,88,55,52,23
Progressive House,0,5501,10,435,18
House,0,93,70,45,13
House,0,101,35,20,1
Trance,0,12974,130,20,30
Progressive House,1,153859,238,146,9
Dubstep,1,23,22,42,59
Techno,0,537,85,125,23
Electro House,0,6,67,18,5
Deep House,0,358,68,355,2
House,0,48,28,2112,5
Deep House,0,394,31,393,9
Trance,0,17,12,5,30
Trance,0,680,117,1680,13
Trance,0,997,7,19,7
House,0,30203,1926,1420,12
Deep House,0,17025,122,2206,27
Deep House,0,1003,75,18,13
Techno,0,220,85,85,19
Techno,0,5,12,96,32
Trance,1,2396,31,55,37
Techno,0,432,320,1867,13
House,0,178,14,29,6
Trance,0,664,185,351,9
Electro House,0,303804,147,592,14
Trance,0,2107,114,52,9
Dubstep,1,540,1,4689,24
House,0,1498,34,17,6
Dubstep,0,1276,52,1,6
Techno,0,652,43,14,13
Electro House,0,580,16,2572,16
Electro House,0,63,18,14,16
House,0,2538,8,380,34
Trance,0,1257,95,3694,9
Progressive House,0,6,67,18,5
Techno,0,1349,26,2,5
House,0,2276,859,89,9
House,0,6142,12,43,24
Techno,0,2,95,361,9
Deep House,0,918,2133,719,20
Deep House,0,940,231,218,9
Deep House,0,59,59,41,13
Trance,1,278,3,1786,9
Deep House,0,1218,30,2963,17
Deep House,0,20544,97,347,30
Techno,0,128,25,525,4
House,0,157,87,382,6
Techno,0,44,82,19,9
Electro House,0,1164,21,9,6
Progressive House,0,1020,183,179,25
House,0,6144,11,1,38
Progressive House,0,732,73,1680,13
Progressive House,0,86,51,177,10
House,1,639,65,850,51
Electro House,0,1501,23,1425,13
Deep House,0,2107,38,25,32
Electro House,0,7958,497,627,7
House,0,131,333,179,25
Progressive House,0,23620,84,2572,16
House,0,1788,76,17,6
House,0,46797,1626,16231,14
House,0,127,33,29,24
Deep House,0,24,5,9,9
Deep House,1,276,10,638,9
Trance,1,356,56,255,58
Deep House,0,17645,61,257,9
Techno,0,8,71,54,26
Deep House,0,13,790,20,23
Electro House,0,1110,22,47,16
Techno,0,1349,26,2,5
Techno,0,1094,676,43,9
Techno,0,40,53,158,2
Progressive House,0,5,96,130,12
Deep House,0,256,10,20,13
House,0,181,17,17,6
Electro House,0,23125,10,1680,20
Techno,0,1212,324,549,30
House,0,68853,671,430,6
Progressive House,1,316,207,3694,44
House,0,17,13,1,24
Electro House,0,1018,10,435,13
Trance,0,252,121,8,23
Trance,0,385,60,3,2
Electro House,0,45,10,41,21
Trance,0,134,25,25,2
Techno,0,13,48,254,9
Deep House,0,677,115,638,10
Deep House,0,29,24,218,9
Trance,0,1430,55,8,9
Trance,0,8118,215,1249,9
Techno,0,81,30,68,9
Progressive House,0,73,75,120,16
House,0,554,23,2112,9
Progressive House,0,59,12,2,9
Trance,0,4152,114,1108,9
Electro House,0,9785,7,1030,2
Trance,0,128,65,707,20
Trance,0,30883,273,3068,2
Deep House,0,272,55,121,16
Electro House,0,20136,502,1071,3
Progressive House,0,3916,98,340,23
Dubstep,0,174,32,35,30
Techno,0,34,7,1036,2
Progressive House,0,69857,264,300,20
Progressive House,0,54530,227,2572,16
Techno,0,223,77,4,30
House,0,3379,19,3694,2
Techno,0,73,15,91,5
House,0,496,9,8,16
Progressive House,0,69857,264,300,20
House,0,1949,11,180,6
Techno,1,25262,97,32,37
Electro House,0,874,28,428,9
House,0,177,122,91,32
House,0,11,7,17,6
House,0,7,13,47,19
House,0,134390,422,120,18
Techno,0,112,65,20,6
Dubstep,0,43,31,905,12
House,0,48162,546,459,9
Techno,0,1678,76,21,13
Techno,0,467,138,20,18
Trance,0,452,55,20,16
House,0,2905,90,6,4
House,0,5110,2,243,14
Deep House,0,507,45,18,2
Deep House,0,3,39,33,11
Deep House,0,1228,753,163,23
Progressive House,1,3,39,233,2
Deep House,0,3694,156,17,16
Trance,0,10882,222,8,9
Techno,0,4244,180,16231,10
Deep House,0,284,37,164,23
Trance,1,38847,513,11,2
Techno,0,339,13,39,9
Electro House,0,191,765,983,6
House,0,20,32,380,34
Trance,0,24365,401,15,6
House,0,3718,508,279,2
Electro House,0,185,3,61,11
Deep House,0,1738,1,937,13
Dubstep,1,111,52,201,59
Trance,0,269,32,3068,2
Progressive House,0,9121,63,156,10
Deep House,0,199,27,17,6
Progressive House,1,4693,67,10,58
Techno,0,40,146,20,16
Trance,0,1500,123,1249,30
Progressive House,0,6436,14,29,10
Progressive House,0,42,49,191,9
Trance,1,22933,313,129,9
Techno,1,863,163,349,2
Techno,0,79,331,96,33
Techno,0,243,69,29,5
House,0,19,129,480,20
Trance,0,75,121,781,9
Electro House,0,180,35,319,20
House,0,7,63,1105,9
Techno,0,27605,31,21,28
Trance,0,215029,602,9110,6
House,0,360,134,16231,10
Techno,0,233,39,162,2
House,0,13,790,23,19
House,0,78,528,153,16
House,0,31,27,3282,5
Deep House,1,194,17,193,10
Trance,0,732,92,351,2
House,0,493,54,319,4
Techno,0,163,299,81,2
House,0,308,69,3282,5
House,0,55,18,480,6
House,0,260,35,1214,6
Progressive House,0,3282,63,16231,18
Trance,0,4988,20,30,9
Progressive House,0,542,120,75,9
Trance,0,1842,130,3827,13
Trance,0,215029,602,1053,38
Techno,0,79,12,4,16
House,0,295,93,1032,13
Deep House,0,477,15,3,9
Techno,0,3702,282,62,16
Trance,1,8119,215,4689,38
Progressive House,0,362,52,1680,20
House,0,1654,251,179,30
House,0,641,23,69,16
Progressive House,0,12106,39,571,6
Electro House,0,1662829,201,2572,37
House,0,1112,223,15,9
Electro House,0,179045,57,992,22
Electro House,1,899,6,48,44
Deep House,0,236,39,47,19
Deep House,0,660,36,23,16
House,0,33513,15,15,30
Progressive House,0,12,285,5809,7
Deep House,0,763,156,340,2
Progressive House,0,440,23,47,16
Trance,0,84543,1,1053,38
Deep House,0,57505,33,51,31
Dubstep,0,83,9,45,9
Trance,0,8118,215,1053,3
Trance,1,1581,47,350,16
Techno,0,2,21,324,11
Deep House,0,264,33,41,13
Progressive House,0,542,120,75,16
House,0,353,18,88,24
Deep House,0,1148,9,180,16
Trance,1,694,721,707,9
Electro House,0,493,54,319,2
Techno,0,1,44,9,9
Trance,1,393,35,8,37
Deep House,0,27,83,310,16
Trance,1,2982,662,46,58
Electro House,0,527202,3,4689,27
House,0,918,2133,1032,3
Electro House,0,118,83,319,2
House,0,1638,18,1,31
House,0,3052,111,739,27
Deep House,0,154,221,180,27
House,0,1767,21,17,6
House,0,479,214,53,10
Trance,0,732,92,52,23
Electro House,0,550,153,1071,3
Trance,0,215029,602,9110,6
Deep House,0,581,21,8,12
Electro House,0,398,19,1,23
Techno,0,33,62,57,30
Techno,1,2257,150,20,2
House,0,128,14,10,25
Progressive House,0,4682,199,1214,20
House,0,383,82,5809,7
Deep House,0,8,50,739,11
Dubstep,1,23,22,42,59
House,0,1471,233,43,19
Trance,0,1580,47,2,23
Deep House,0,2057,117,2963,22
Electro House,0,23790,150,435,13
House,0,4682,199,1214,13
Trance,0,2091,199,52,23
Techno,0,8753,225,148,6
Techno,0,13486,297,439,27
Techno,0,740,41,23,13
House,0,101,35,20,8
House,0,414,3,3,31
Progressive House,0,1559,700,233,13
House,0,357,122,1848,13
House,0,154,221,180,16
Progressive House,0,4034,89,147,9
Techno,0,245,54,39,9
Techno,0,338,178,950,19
Techno,1,2522,135,104,33
Progressive House,0,429,347,29,16
Progressive House,1,1746707,393,4689,20
