genre,enteredCharts,twitterFollowers,artistSongs,labelSongs,daysAfterRelease
Techno,0,15,58,61,2
Techno,0,13,13,94,8
Progressive House,0,4666,42,2,9
House,0,394,20,179,2
Trance,0,15789,280,3068,16
Deep House,0,38334,442,549,16
Techno,0,506,105,1867,20
Deep House,0,1071,111,638,10
Trance,0,252,163,351,30
Deep House,0,1517,7,30,13
Progressive House,0,1,6,904,2
Techno,0,3,114,95,18
Electro House,0,4418,28,392,6
Deep House,0,548501,31,549,16
Dubstep,1,2382,118,201,10
House,0,420,181,39,16
House,0,396,24,23,16
House,0,317,111,293,12
House,1,8665,9,198,16
Techno,0,7279,192,159,16
House,0,45,86,51,5
Deep House,0,199,27,17,6
Deep House,0,236,39,47,16
House,0,277,10,28,2
Electro House,0,892,73,1,9
Trance,1,4746,51,129,9
House,0,533,49,1621,16
House,0,3088,183,120,18
House,0,5540,5,24,21
Electro House,0,1501,23,1425,13
House,0,2381,52,98,2
Techno,0,43,22,56,16
Electro House,0,15432,72,120,39
Progressive House,0,584484,106,392,6
Progressive House,0,43,45,173,3
House,0,502,298,1071,20
Techno,0,50330,243,996,19
Progressive House,0,799,195,340,30
House,0,130,65,237,5
Trance,0,156411,510,3827,13
Trance,0,848,130,1108,2
Trance,0,238,168,364,16
Techno,0,425,4,1867,13
Dubstep,0,578,42,43,8
House,0,1559,700,3282,20
House,0,4682,199,1214,6
Techno,0,4811,379,151,16
House,0,41638,20,16,2
Progressive House,0,280,8,107,16
House,0,507,263,5809,25
Techno,0,862,163,53,9
House,0,239,9,17,6
Electro House,0,1196,64,525,13
Techno,0,415,8,63,9
House,0,313,27,15,19
House,0,180,35,319,4
Deep House,0,156,77,467,3
Deep House,0,829,10,2572,16
House,0,86,28,81,6
House,0,2,90,303,9
House,0,46797,1626,66,13
House,0,24365,124,336,2
House,0,53,12,3282,13
Techno,0,40198,32,2,9
Deep House,0,127,53,2206,13
House,0,201,25,93,23
House,0,2538,21,1413,3
House,0,895,745,435,26
Deep House,0,428,4,5,3
House,0,30203,1926,1071,20
Trance,0,4767,462,364,16
Trance,0,2091,199,219,30
Techno,0,5654,90,62,16
Deep House,0,63,13,5,16
Trance,0,5,96,130,12
Deep House,0,397,69,154,1
House,0,1471,233,89,19
Techno,0,1153,39,840,27
Deep House,0,4593,27,4689,34
House,0,235,8,45,9
Techno,0,1094,676,104,2
Techno,0,4811,379,317,11
Techno,0,3543,273,549,30
Deep House,0,262,8,237,25
Trance,0,734,61,422,2
Trance,0,568,131,1017,9
Deep House,0,61,13,1383,18
Deep House,0,786,4,10,30
Deep House,0,328,24,195,17
Progressive House,0,1844,46,17,6
Electro House,0,539,20,392,13
Deep House,0,55,77,467,10
House,0,235,8,45,9
Electro House,0,1339,37,26,27
House,0,228,1,1,19
Techno,0,10986,20,2,23
Trance,0,108,300,5,30
Electro House,0,2704,50,392,13
Deep House,0,74,28,14,16
House,0,3553,98,1032,29
Deep House,0,22457,6,21,10
Progressive House,0,5499,46,16231,3
Progressive House,0,38643,261,553,34
Trance,0,4666,42,430,16
House,0,11,8,33,16
House,0,429,347,1032,11
Deep House,0,13607,34,17,6
Deep House,0,407,57,170,27
Progressive House,0,175,102,435,18
Trance,0,134441,435,9110,6
Techno,0,12,10,26,16
Techno,0,2680,15,22,3
House,0,3635,333,743,26
Trance,0,433,239,30,2
Techno,0,45869,135,194,16
House,0,84,3,23,17
House,0,334,20,17,6
House,0,220,68,109,3
Deep House,0,13,32,2206,13
House,0,77484,456,16231,10
Trance,0,4767,462,351,37
Trance,0,114,28,24,16
House,0,1521,100,32,13
Deep House,0,4047,5,224,10
House,0,631,12,5809,4
Trance,1,1265334,1381,470,16
Deep House,0,439,38,16231,12
Techno,0,22,9,198,6
Trance,0,355,56,448,30
House,0,141,89,2112,16
Techno,0,314,109,564,13
Techno,0,16,32,156,15
Progressive House,0,6012,142,156,10
Progressive House,0,968,130,70,27
Deep House,0,6,83,176,12
House,1,4,371,98,16
Trance,0,693,721,30,24
House,0,5304,33,549,16
House,0,125,32,1032,31
Trance,0,156411,510,9110,20
Techno,1,6,255,43,54
House,0,672,2,81,27
Techno,0,331,56,1711,6
Techno,0,36,15,3,9
Electro House,0,24496,275,992,16
House,0,201,25,93,23
House,0,7,119,69,30
Techno,0,3543,273,549,2
Progressive House,0,924,7,1680,13
Deep House,0,1706,98,224,3
Techno,0,7,4,4,3
Deep House,0,74,5,19,2
Progressive House,0,694,197,3068,2
House,0,1044,2,1,12
House,0,1388,60,1214,6
Techno,0,165,82,85,16
Techno,0,130,138,86,23
Electro House,0,63,18,14,16
House,0,1,12,213,6
House,0,502,1,9,12
Deep House,0,765,1042,950,19
Progressive House,0,2229,212,107,16
Trance,0,9952,164,105,16
Techno,0,55,103,5,3
Deep House,0,13,790,110,12
House,0,6793,17,13,3
House,0,407,57,92,2
Trance,1,1650,251,129,2
Progressive House,0,123,17,1249,23
House,0,2276,859,2963,6
Progressive House,0,1071,111,120,16
Electro House,0,2774,149,5809,13
Techno,0,1311,149,66,16
Progressive House,0,1056,124,1680,20
Techno,0,1675,24,5,23
Techno,0,775,132,3,17
Deep House,0,4,2,305,5
Trance,0,105,10,52,30
House,0,393,117,2112,16
Deep House,0,147,225,25,29
Trance,0,5913,224,219,37
House,0,54,12,17,6
Deep House,0,802,4,305,5
Electro House,0,1221,31,2112,2
Deep House,0,769,5,28,2
Techno,0,16,16,1,6
Techno,0,137,130,167,20
Electro House,0,473,33,392,13
Trance,1,22933,313,470,30
Techno,0,358,27,1,23
Progressive House,0,2,34,6,15
Deep House,0,763,156,340,2
Deep House,0,172,6,18,12
