Gender,Amount,MPHover,Age,OutTown,OutState,Police
male,155,18,22,1,0,local police
female,,10,29,1,0,local police
male,155,18,32,1,1,state police
male,175,20,40,1,0,state police
female,,15,31,1,0,local police
female,195,22,21,1,1,state police
male,,9,69,1,1,local police
female,,10,29,0,0,local police
male,,10,26,1,0,local police
female,,19,47,1,0,local police
male,225,25,28,1,0,state police
female,,14,26,1,0,local police
male,,23,28,1,0,local police
male,,13,34,1,0,local police
male,,15,74,1,0,local police
female,50,10,29,1,0,local police
female,,15,23,1,0,local police
male,50,10,30,0,0,local police
male,,29,45,1,0,local police
male,,5,22,1,0,state police
female,75,16,19,1,1,local police
male,75,20,20,1,0,state police
male,75,10,38,1,1,local police
male,75,10,25,1,0,local police
female,125,15,27,1,0,state police
female,145,17,48,1,1,state police
male,75,10,20,1,1,state police
female,75,17,25,1,0,local police
female,,10,43,0,0,local police
female,,15,51,1,0,local police
female,135,16,39,1,0,state police
male,,11,44,0,0,local police
female,50,10,19,1,0,local police
male,135,16,19,1,1,state police
male,155,18,34,1,0,state police
male,75,10,27,1,1,state police
male,,14,26,1,0,local police
male,,10,54,0,0,local police
female,110,16,55,1,1,local police
male,75,10,57,0,0,local police
female,,16,29,1,0,local police
male,,14,45,1,0,local police
female,,13,51,1,0,local police
male,,14,79,0,0,local police
male,,15,20,1,0,local police
male,175,20,31,1,0,local police
male,,14,33,1,0,local police
male,,4,31,1,0,state police
male,175,20,20,1,1,state police
male,75,10,24,1,0,state police
male,,5,26,1,0,state police
male,,15,62,1,0,local police
male,75,10,23,1,0,local police
male,75,15,47,1,0,local police
male,,14,29,1,0,local police
female,135,16,22,1,1,state police
male,,15,18,1,0,local police
male,,10,20,0,0,local police
male,50,10,20,0,0,local police
male,125,15,43,1,0,state police
male,,10,20,1,0,local police
male,175,20,25,1,0,state police
male,,16,19,1,0,local police
female,140,19,44,0,0,local police
male,,10,40,0,0,local police
male,,3,35,1,0,state police
male,75,10,31,1,0,local police
male,75,15,19,1,0,local police
female,75,17,38,1,0,state police
female,,10,48,0,0,local police
female,115,14,18,1,0,local police
female,,18,49,0,0,local police
male,,18,54,1,0,local police
male,,14,36,1,0,local police
female,50,23,38,1,0,local police
male,75,10,32,1,0,state police
male,,22,34,0,0,local police
female,75,10,19,1,1,state police
female,,10,39,1,0,local police
male,145,17,43,1,0,state police
male,100,23,30,1,0,local police
female,,15,46,1,0,local police
female,,13,20,1,0,local police
female,,13,36,1,1,local police
female,,13,19,0,0,local police
male,,10,52,1,0,local police
female,125,15,26,1,0,state police
male,125,15,34,1,0,local police
male,,17,47,1,0,local police
male,,5,24,1,0,local police
male,50,25,26,1,0,local police
female,,15,23,1,0,local police
male,185,21,31,1,1,local police
male,50,10,38,1,0,local police
female,,8,42,1,0,local police
male,,15,40,1,0,local police
female,,10,47,1,0,local police
male,,12,65,1,0,local police
female,,13,44,0,0,local police
male,125,15,47,1,0,state police
female,,10,30,0,0,local police
male,135,16,28,1,0,local police
male,,4,44,1,0,local police
male,145,17,63,1,1,state police
male,,20,17,1,0,local police
male,145,17,54,1,0,local police
female,,15,40,1,0,local police
