Gender,Amount,MPHover,Age,OutTown,OutState,Police
male,205.0,23,24,1,0,local police
male,75.0,10,18,0,0,state police
female,,9,20,0,0,state police
female,125.0,15,32,1,0,local police
female,,10,27,0,0,local police
male,75.0,10,18,1,1,state police
female,,17,18,0,0,local police
male,,10,23,1,0,local police
male,,10,78,0,0,local police
female,75.0,17,21,1,0,local police
male,75.0,10,19,1,0,local police
male,,10,33,1,0,state police
male,145.0,17,17,1,0,state police
male,,10,25,1,0,local police
male,,10,27,1,0,local police
female,,10,28,1,0,local police
female,,10,36,1,0,local police
male,,14,23,1,0,local police
male,75.0,10,18,0,0,local police
male,,15,29,1,0,local police
female,75.0,10,44,0,0,local police
male,100.0,23,24,0,0,state police
female,75.0,15,24,1,0,local police
male,275.0,30,24,1,0,local police
male,,10,36,1,0,local police
male,,10,18,1,0,local police
female,,10,50,1,1,local police
male,,10,20,0,0,local police
male,,10,39,0,0,local police
male,75.0,15,18,1,0,state police
male,,10,18,0,0,local police
female,75.0,10,38,1,0,local police
female,75.0,10,20,1,0,local police
female,,10,75,1,0,local police
female,,13,21,1,0,state police
female,,10,27,1,0,local police
male,,10,41,1,1,local police
male,75.0,10,22,1,0,local police
male,,10,25,1,0,state police
male,,14,40,0,0,local police
male,235.0,26,28,1,1,local police
male,,10,57,0,0,local police
male,,10,24,1,0,local police
female,,10,20,1,0,local police
male,,15,29,1,0,state police
male,,10,18,1,0,local police
female,75.0,10,23,1,0,local police
male,75.0,11,78,1,1,local police
male,75.0,10,33,1,1,local police
male,,10,18,0,0,local police
male,,10,25,0,0,local police
female,,10,35,1,0,state police
male,,10,22,1,0,local police
female,,10,17,1,0,local police
male,75.0,10,21,0,0,state police
female,75.0,10,24,1,0,state police
female,,10,17,0,0,local police
female,,14,32,0,0,local police
female,,14,18,0,0,local police
female,75.0,18,42,1,0,local police
male,,14,35,0,0,local police
female,365.0,39,19,1,0,local police
male,,20,49,1,0,local police
female,,18,19,0,0,local police
male,,15,20,0,0,local police
female,185.0,21,30,0,0,local police
female,,10,26,1,1,local police
male,,10,25,1,1,state police
female,75.0,10,22,0,0,state police
male,75.0,15,37,1,0,state police
female,385.0,41,17,1,1,local police
female,,13,42,1,0,local police
male,,14,31,1,0,local police
male,,15,30,0,0,local police
male,,16,19,0,0,local police
male,,13,54,0,0,local police
male,50.0,16,18,0,0,local police
female,175.0,25,29,1,0,state police
female,,16,31,0,0,local police
male,,14,45,0,0,local police
male,,20,33,1,1,local police
female,,15,22,1,1,local police
female,215.0,24,23,0,0,local police
male,,8,46,0,0,local police
male,,10,22,1,0,local police
female,,21,51,1,0,local police
male,125.0,15,22,1,0,local police
male,75.0,18,38,1,0,state police
male,,13,38,0,0,local police
male,220.0,25,32,0,0,local police
male,75.0,15,45,0,0,state police
male,75.0,21,42,1,0,local police
male,75.0,15,27,1,0,state police
male,215.0,24,35,1,1,state police
male,125.0,17,18,1,1,state police
female,155.0,18,36,0,0,local police
male,,15,43,0,0,local police
male,,12,32,1,0,local police
male,,15,52,1,1,local police
male,120.0,17,26,1,0,local police
female,155.0,18,29,0,0,local police
male,235.0,26,21,0,0,local police
male,185.0,21,19,1,0,state police
male,75.0,9,19,1,0,state police
male,,15,43,1,0,local police
male,150.0,25,18,0,0,local police
male,,14,69,0,0,local police
female,125.0,15,29,1,0,local police
female,,16,41,1,0,local police
male,,17,26,0,0,local police
male,,15,38,1,0,local police
male,50.0,25,55,1,0,local police
male,,22,37,0,0,local police
male,155.0,18,39,0,0,local police
male,,10,17,0,0,local police
male,105.0,13,42,1,0,local police
male,175.0,25,31,1,0,state police
male,75.0,25,26,1,0,state police
female,,14,57,0,0,local police
female,,15,40,1,1,local police
male,135.0,16,30,0,0,state police
female,,17,42,0,0,local police
female,,11,49,1,0,local police
female,,12,52,0,0,local police
male,,16,67,0,0,local police
female,,10,35,0,0,local police
female,,12,27,0,0,local police
male,,12,18,0,0,local police
male,,14,26,1,0,local police
male,265.0,29,17,0,0,local police
male,,18,22,0,0,local police
female,50.0,15,47,1,0,local police
female,,15,50,1,1,local police
male,125.0,15,43,1,0,state police
male,,12,40,0,0,local police
male,,10,24,0,0,state police
female,,11,53,0,0,local police
female,,10,27,0,0,local police
male,,25,37,0,0,local police
male,,15,31,0,0,state police
female,,12,26,0,0,local police
male,,15,42,1,0,local police
male,,23,22,1,0,local police
male,185.0,21,35,0,0,local police
female,,13,56,0,0,local police
male,,10,46,1,0,local police
male,,15,39,0,0,local police
female,,10,41,1,0,local police
male,,15,20,0,0,local police
male,,15,36,1,1,local police
female,,12,54,0,0,local police
male,,15,29,1,1,local police
male,,21,51,1,0,local police
male,225.0,25,23,1,1,local police
female,,14,26,0,0,local police
female,,16,60,0,0,local police
female,,12,18,0,0,local police
male,,15,28,1,1,local police
male,235.0,26,30,0,0,local police
male,,15,42,1,1,local police
male,170.0,22,19,0,0,local police
male,,22,41,1,0,local police
male,,18,32,0,0,local police
male,100.0,22,19,0,0,local police
male,,20,32,0,0,local police
male,220.0,27,31,1,1,local police
male,75.0,20,22,0,0,local police
male,75.0,18,41,0,0,local police
female,,15,62,0,0,local police
female,275.0,30,18,0,0,local police
female,,17,55,1,1,local police
female,,16,47,0,0,local police
male,,14,25,1,0,local police
male,,16,24,1,0,local police
male,,13,22,1,0,local police
female,,20,72,1,0,local police
male,,16,58,0,0,local police
male,325.0,35,35,1,0,state police
male,,11,17,0,0,local police
female,,12,19,0,0,local police
male,145.0,17,17,1,0,local police
female,,15,39,1,0,state police
male,75.0,23,21,1,0,local police
male,50.0,20,18,1,0,local police
male,135.0,16,45,1,0,local police
female,,13,48,0,0,local police
male,,10,41,1,0,local police
female,,10,42,0,0,local police
male,165.0,19,33,1,1,state police
male,,17,76,0,0,local police
male,,15,37,1,0,local police
male,210.0,26,18,0,0,local police
male,,10,27,0,0,local police
male,,21,36,0,0,local police
female,,17,23,0,0,local police
male,50.0,17,46,0,0,local police
male,,15,24,0,0,local police
male,205.0,23,25,1,1,state police
male,,9,33,1,0,state police
male,295.0,32,24,1,0,local police
female,,14,51,0,0,local police
female,,10,19,0,0,local police
female,,13,37,0,0,local police
male,,12,20,0,0,local police
female,,17,39,0,0,local police
male,275.0,36,30,1,0,local police
female,,14,51,1,0,local police
male,,12,19,1,0,local police
male,,10,51,1,1,local police
male,75.0,19,20,1,0,local police
male,75.0,10,39,1,0,state police
male,195.0,22,37,1,1,local police
female,,10,36,1,1,local police
male,95.0,21,31,1,0,local police
male,,15,24,0,0,local police
male,,12,18,0,0,local police
male,,14,34,0,0,local police
female,,10,23,0,0,local police
male,,21,20,0,0,local police
male,50.0,28,20,0,0,local police
female,,17,29,0,0,local police
female,,14,39,1,1,local police
male,,14,72,0,0,local police
male,,15,40,1,0,local police
male,,16,24,0,0,local police
female,,15,38,0,0,local police
female,,17,65,1,0,local police
female,,17,27,0,0,local police
female,,16,21,1,1,local police
male,,13,44,0,0,local police
male,,14,56,1,0,local police
male,75.0,11,20,0,0,local police
female,75.0,15,29,0,0,local police
female,,16,53,0,0,local police
male,75.0,10,49,0,0,local police
male,,11,21,0,0,local police
male,,10,51,1,0,local police
male,,10,60,1,0,local police
male,,15,21,0,0,local police
female,160.0,21,74,0,0,local police
male,330.0,38,54,1,1,local police
male,175.0,20,20,1,1,local police
female,,13,43,0,0,local police
female,,17,19,0,0,local police
male,,10,18,0,0,local police
female,,15,20,0,0,local police
female,,15,35,0,0,local police
female,75.0,22,35,1,0,local police
male,85.0,11,18,0,0,local police
female,75.0,10,20,1,1,state police
female,75.0,10,35,1,0,state police
male,,14,49,0,0,local police
male,175.0,23,21,1,1,state police
male,,15,79,1,0,local police
female,,15,56,1,0,local police
male,,15,47,0,0,local police
male,,15,19,1,0,local police
female,,17,64,1,0,local police
female,,15,29,0,0,local police
female,175.0,28,22,1,0,local police
female,,17,27,1,0,local police
female,,12,36,0,0,local police
female,,18,41,1,0,local police
male,,15,42,1,0,local police
male,,10,47,1,1,local police
male,,16,17,0,0,local police
female,175.0,20,24,0,0,local police
female,125.0,15,21,0,0,state police
female,,16,29,0,0,local police
male,,10,30,1,0,local police
male,,18,36,1,0,local police
male,75.0,19,20,1,0,local police
male,225.0,25,19,1,0,local police
male,,15,86,1,1,local police
male,,17,19,0,0,local police
male,,18,49,0,0,local police
male,145.0,17,20,1,0,local police
male,75.0,33,23,0,0,local police
female,,15,22,0,0,local police
female,,7,54,0,0,local police
female,205.0,23,48,0,0,local police
male,75.0,22,20,0,0,local police
male,,19,33,0,0,local police
male,,10,54,0,0,local police
male,,11,19,0,0,local police
male,125.0,15,43,1,0,local police
male,155.0,18,30,1,0,local police
male,75.0,10,32,1,0,local police
male,,17,28,1,0,local police
female,,11,50,0,0,local police
female,,12,18,0,0,local police
male,125.0,15,45,0,0,local police
female,,10,45,1,0,local police
male,,15,42,0,0,local police
male,,17,35,1,0,local police
female,,16,39,1,1,local police
male,155.0,18,45,1,0,local police
male,150.0,26,20,1,0,local police
female,,15,48,1,1,local police
male,,13,27,0,0,local police
female,,21,19,0,0,local police
male,,16,38,1,1,local police
male,,5,32,1,0,state police
female,,15,21,0,0,local police
female,,11,20,0,0,local police
male,,15,49,1,1,local police
male,145.0,17,23,0,0,local police
male,,22,27,1,0,local police
female,,7,56,1,0,local police
female,,13,52,0,0,local police
female,,20,45,0,0,local police
female,75.0,10,27,0,0,state police
female,,17,41,1,0,local police
male,,13,39,0,0,local police
male,,10,23,0,0,local police
female,,25,30,0,0,local police
male,,17,19,0,0,local police
female,75.0,18,21,1,0,local police
male,,13,30,1,0,local police
male,75.0,10,20,1,0,local police
male,,19,47,1,1,local police
female,,15,84,0,0,local police
female,,17,35,0,0,local police
female,,20,23,1,0,local police
male,,14,34,0,0,local police
male,,17,64,0,0,local police
male,,22,25,1,1,local police
female,,26,28,1,1,local police
male,,12,19,1,0,local police
male,125.0,15,31,1,0,local police
female,,25,28,1,0,local police
female,,19,38,1,0,local police
male,,10,21,0,0,local police
male,,14,17,0,0,local police
female,50.0,22,23,0,0,local police
female,50.0,20,38,1,1,local police
male,,15,48,0,0,local police
female,105.0,26,19,0,0,state police
male,185.0,21,31,1,1,local police
female,,18,50,0,0,local police
male,,13,26,0,0,local police
female,,16,18,0,0,local police
female,,18,54,0,0,local police
female,,12,56,0,0,local police
female,,12,25,0,0,local police
female,100.0,20,36,1,0,state police
male,145.0,17,26,1,0,state police
male,,16,42,0,0,local police
male,75.0,10,47,1,1,state police
male,,12,50,1,0,local police
female,75.0,10,24,1,0,local police
male,,14,36,1,1,local police
male,,19,17,0,0,local police
male,,19,21,1,0,local police
female,,10,28,1,0,local police
male,,16,41,1,0,local police
male,,13,52,0,0,local police
male,,14,69,0,0,local police
male,75.0,10,24,1,0,state police
male,,15,33,1,0,local police
male,205.0,23,65,1,1,state police
male,,12,23,0,0,local police
male,75.0,10,53,1,1,state police
male,,15,44,1,0,local police
female,,19,22,1,1,local police
female,,13,26,0,0,local police
female,75.0,10,32,0,0,local police
female,,15,40,1,0,local police
male,,10,45,0,0,local police
female,,14,28,0,0,local police
female,,15,37,0,0,local police
male,,14,28,1,0,local police
male,,13,24,0,0,local police
male,75.0,10,24,0,0,local police
male,,13,37,1,0,local police
male,,12,24,0,0,local police
male,120.0,17,29,1,0,state police
male,75.0,20,35,1,1,state police
female,145.0,17,22,1,1,state police
male,105.0,13,33,1,0,state police
female,235.0,26,19,1,0,state police
female,75.0,10,31,1,0,state police
male,,10,30,0,0,local police
male,175.0,20,67,1,1,state police
female,,14,22,0,0,local police
male,,13,53,0,0,local police
male,75.0,10,36,1,0,local police
male,75.0,10,44,0,0,local police
female,75.0,10,23,1,0,state police
male,,20,52,1,0,state police
female,,10,31,1,0,local police
male,,10,44,1,1,local police
male,,13,38,1,0,local police
female,,13,49,1,0,local police
male,,13,57,0,0,local police
male,75.0,10,34,1,1,state police
female,,17,39,1,1,local police
female,,10,44,0,0,local police
female,,15,49,1,0,local police
male,,17,36,1,0,local police
female,,15,65,1,1,local police
female,,15,43,1,0,local police
male,75.0,10,35,1,1,local police
female,,16,19,0,0,local police
female,225.0,25,32,1,0,state police
female,75.0,18,29,1,0,local police
female,,13,18,0,0,local police
female,,15,55,0,0,local police
male,125.0,15,48,1,1,state police
male,,15,70,1,0,local police
male,,14,60,1,0,local police
female,,14,46,1,0,local police
female,,15,60,1,0,local police
female,175.0,20,18,1,1,state police
male,,15,32,1,0,local police
